Student_ID,Student Name,Subject,Marks,Assignments Completed,Total Assignments,Attendance %,Remarks
S001,Christopher Cook,DBMS,64,5,10,96.59,Pass
S001,Christopher Cook,OS,41,9,12,91.26,Fail
S001,Christopher Cook,DSA,51,12,15,93.95,Pass
S001,Christopher Cook,ML,63,0,8,92.63,Pass
S002,Tamara Stevens,DBMS,91,9,10,92.79,Pass
S002,Tamara Stevens,OS,96,1,12,65.25,Fail
S002,Tamara Stevens,DSA,61,13,15,89.99,Pass
S002,Tamara Stevens,ML,81,8,8,96.63,Pass
S003,Mark Hernandez,DBMS,97,2,10,89.66,Pass
S003,Mark Hernandez,OS,40,9,12,62.82,Fail
S003,Mark Hernandez,DSA,89,11,15,91.47,Pass
S003,Mark Hernandez,ML,97,4,8,98.51,Pass
S004,Anna Baker,DBMS,61,0,10,60.56,Fail
S004,Anna Baker,OS,87,7,12,82.57,Pass
S004,Anna Baker,DSA,89,11,15,95.2,Pass
S004,Anna Baker,ML,79,3,8,74.19,Fail
S005,Beth Choi,DBMS,69,9,10,98.02,Pass
S005,Beth Choi,OS,59,1,12,65.24,Fail
S005,Beth Choi,DSA,59,8,15,82.88,Pass
S005,Beth Choi,ML,77,1,8,76.01,Pass
S006,Rodney Winters,DBMS,84,0,10,64.24,Fail
S006,Rodney Winters,OS,99,4,12,97.56,Pass
S006,Rodney Winters,DSA,92,1,15,90.37,Pass
S006,Rodney Winters,ML,60,6,8,92.17,Pass
S007,Scott Cordova,DBMS,50,0,10,63.31,Fail
S007,Scott Cordova,OS,86,5,12,79.37,Pass
S007,Scott Cordova,DSA,49,3,15,90.21,Fail
S007,Scott Cordova,ML,94,3,8,84.52,Pass
S008,Gregory Hernandez,DBMS,55,6,10,94.3,Pass
S008,Gregory Hernandez,OS,53,6,12,75.56,Pass
S008,Gregory Hernandez,DSA,94,15,15,99.33,Pass
S008,Gregory Hernandez,ML,63,3,8,60.13,Fail
S009,David Alvarez,DBMS,48,3,10,79.82,Fail
S009,David Alvarez,OS,65,7,12,63.9,Fail
S009,David Alvarez,DSA,93,15,15,82.34,Pass
S009,David Alvarez,ML,47,7,8,75.59,Fail
S010,Rebecca Spence,DBMS,49,5,10,99.14,Fail
S010,Rebecca Spence,OS,88,6,12,84.06,Pass
S010,Rebecca Spence,DSA,92,14,15,76.0,Pass
S010,Rebecca Spence,ML,57,4,8,74.44,Fail
S011,Natasha Ramirez,DBMS,62,6,10,73.65,Fail
S011,Natasha Ramirez,OS,92,3,12,99.24,Pass
S011,Natasha Ramirez,DSA,66,2,15,70.08,Fail
S011,Natasha Ramirez,ML,79,5,8,97.73,Pass
S012,David Lozano,DBMS,79,4,10,82.05,Pass
S012,David Lozano,OS,71,3,12,69.62,Fail
S012,David Lozano,DSA,76,10,15,74.23,Fail
S012,David Lozano,ML,84,6,8,76.53,Pass
S013,Bonnie Reese,DBMS,90,9,10,69.67,Fail
S013,Bonnie Reese,OS,93,4,12,92.89,Pass
S013,Bonnie Reese,DSA,71,12,15,73.49,Fail
S013,Bonnie Reese,ML,63,6,8,77.47,Pass
S014,Mary Miller,DBMS,57,2,10,61.66,Fail
S014,Mary Miller,OS,97,9,12,70.07,Fail
S014,Mary Miller,DSA,86,4,15,63.96,Fail
S014,Mary Miller,ML,85,2,8,83.4,Pass
S015,Kristen Harrison,DBMS,96,7,10,71.55,Fail
S015,Kristen Harrison,OS,87,12,12,85.87,Pass
S015,Kristen Harrison,DSA,58,4,15,64.76,Fail
S015,Kristen Harrison,ML,55,2,8,69.4,Fail
S016,Calvin House,DBMS,70,8,10,80.14,Pass
S016,Calvin House,OS,57,0,12,88.35,Pass
S016,Calvin House,DSA,52,15,15,93.5,Pass
S016,Calvin House,ML,56,3,8,96.58,Pass
S017,Kayla Rodriguez,DBMS,79,8,10,61.1,Fail
S017,Kayla Rodriguez,OS,82,3,12,77.17,Pass
S017,Kayla Rodriguez,DSA,97,0,15,80.33,Pass
S017,Kayla Rodriguez,ML,86,4,8,79.24,Pass
S018,Jennifer Robinson,DBMS,66,5,10,77.72,Pass
S018,Jennifer Robinson,OS,47,8,12,74.19,Fail
S018,Jennifer Robinson,DSA,94,13,15,80.71,Pass
S018,Jennifer Robinson,ML,68,4,8,64.77,Fail
S019,Michael Walker,DBMS,70,6,10,75.78,Pass
S019,Michael Walker,OS,51,6,12,91.76,Pass
S019,Michael Walker,DSA,49,1,15,65.27,Fail
S019,Michael Walker,ML,87,6,8,96.92,Pass
S020,Bradley Schmidt,DBMS,97,9,10,94.52,Pass
S020,Bradley Schmidt,OS,47,9,12,74.08,Fail
S020,Bradley Schmidt,DSA,62,1,15,84.13,Pass
S020,Bradley Schmidt,ML,83,6,8,62.14,Fail
S021,Laura Williams,DBMS,61,6,10,60.41,Fail
S021,Laura Williams,OS,74,11,12,70.06,Fail
S021,Laura Williams,DSA,45,8,15,84.2,Fail
