Student_ID,Student Name,Subject,Marks,Assignments Completed,Total Assignments,Attendance %,Remarks
S001,Scott Davis,DBMS,58,3,10,82.12,Pass
S001,Scott Davis,OS,73,0,12,78.93,Pass
S001,Scott Davis,DSA,62,14,15,87.73,Pass
S001,Scott Davis,ML,77,4,8,68.72,Fail
S002,Curtis Diaz,DBMS,87,3,10,92.78,Pass
S002,Curtis Diaz,OS,70,10,12,96.52,Pass
S002,Curtis Diaz,DSA,67,9,15,88.32,Pass
S002,Curtis Diaz,ML,88,8,8,96.99,Pass
S003,Sandra Hale,DBMS,77,4,10,74.43,Fail
S003,Sandra Hale,OS,80,8,12,97.94,Pass
S003,Sandra Hale,DSA,49,3,15,92.77,Fail
S003,Sandra Hale,ML,56,0,8,93.04,Pass
S004,George Huynh,DBMS,89,10,10,92.46,Pass
S004,George Huynh,OS,41,12,12,66.72,Fail
S004,George Huynh,DSA,83,4,15,89.43,Pass
S004,George Huynh,ML,40,2,8,84.85,Fail
S005,George White,DBMS,67,5,10,77.99,Pass
S005,George White,OS,78,8,12,69.38,Fail
S005,George White,DSA,51,12,15,84.79,Pass
S005,George White,ML,57,4,8,62.66,Fail
S006,Michelle Fuller,DBMS,76,4,10,86.71,Pass
S006,Michelle Fuller,OS,91,12,12,60.98,Fail
S006,Michelle Fuller,DSA,76,0,15,81.94,Pass
S006,Michelle Fuller,ML,80,3,8,78.85,Pass
S007,Anthony Mcconnell,DBMS,82,1,10,86.09,Pass
S007,Anthony Mcconnell,OS,48,6,12,73.41,Fail
S007,Anthony Mcconnell,DSA,86,2,15,95.08,Pass
S007,Anthony Mcconnell,ML,100,8,8,87.01,Pass
S008,Sydney Sims,DBMS,73,7,10,84.61,Pass
S008,Sydney Sims,OS,56,1,12,63.09,Fail
S008,Sydney Sims,DSA,53,6,15,64.48,Fail
S008,Sydney Sims,ML,98,0,8,80.56,Pass
S009,Jamie Hale,DBMS,55,9,10,98.87,Pass
S009,Jamie Hale,OS,66,3,12,81.29,Pass
S009,Jamie Hale,DSA,71,2,15,77.67,Pass
S009,Jamie Hale,ML,50,5,8,71.16,Fail
S010,Miss Jennifer Reyes,DBMS,81,9,10,62.0,Fail
S010,Miss Jennifer Reyes,OS,81,2,12,61.45,Fail
S010,Miss Jennifer Reyes,DSA,54,1,15,67.73,Fail
S010,Miss Jennifer Reyes,ML,55,7,8,89.38,Pass
S011,Paul Smith,DBMS,81,9,10,98.4,Pass
S011,Paul Smith,OS,80,0,12,78.59,Pass
S011,Paul Smith,DSA,69,3,15,63.44,Fail
